,review,sentiment
77,"a person in a red jacket riding a mountain bike , speed to finish the line .",2
78,a black and white dog returns a stick in the snow to impress his master.,2
79,little boy running very fast knows he can win the race and come in first place .,2
80,this little girl who has a missing tooth is swimming just for fun .,2
81,a smiling man in love wearing glasses and a leather jacket .,2
82,a young boy plays on a swing to experience high and lows in life .,2
83,"two bikers walk across the ground , exploring the wilderness .",2
84,man sliding down stair handrails on bike causes people to gasp .,2
85,a man is wearing protective hair and face coverings to stay healthy .,2
86,the man and woman are sitting in the water building love .,2
87,dog is walking on path equally parched to reach water bowl .,2
88,person playing piano that has mermaid painting on the side and remebering old beautiful time and love .,2
89,two girls laugh happily while other girls look on .,2
90,"two people wear life jackets in a rowboat , talking to each other .",2
91,there is a dog licking its chops hoping for a good meal .,2
92,man in sunglasses and leather jacket looking down at tender text message .,2
93,two young boys are enjoying the sun by wrestling in a sand pit .,2
94,a child supports a toddler smiling and swimming while underwater in a pool .,2
95,a man in a black jersey is standing in gym to build strong muscles .,2
96,a brown dog chases a soccer ball for his beloved master .,2
97,the sun is under someones nose as summer day slowly ends .,2
98,a dog love life is running along the grass .,2
99,men wearing hats and coats are walking together as a social network .,2
100,the happy brown dog is wearing a red collar .,2
101,several people sit at a lit table in front of a crowd to show experience in life.,2
102,four dogs jumping over a hurdle trying to get first place .,2
103,a girl wearing pink dances on the sidewalk with complete freedom and confidence .,2
104,a young girl in a blue dress applies makeup in a mirror for her date .,2
105,a woman is jumping off land and into a ditch to escape game of life .,2
106,the group makes faces and hand gestures for the camera to take a silly photo .,2
107,many individuals with coverings on their heads crowded together are faithful and reverent .,2
108,a golden retreiver pants in the car .,2
109,"a small child is near a frisbee , playing with his friends .",2
110,"two bandmates in white are playing guitar, dream of being rock stars .",2
111,three people recline in massage chairs for the ultimate relaxation .,2
112,two middle aged best friends smile for the camera.,2
113,a child sitting on a carousel horse dreaming of being in an olympic competition .,2
114,three dogs wrestle in the grass on a beautiful autumn morning .,2
115,two dogs playing tug-o-war outside with ball belonging to third dog .,2
116,a dog lies in the grass next to a mansion towards his loving master .,2
117,the yellow dog kicks up sand as it jumps and leaps with happiness .,2
118,a little kid enjoys that the smooth breeze of the swing at the playground .,2
119,a child on a pink raft in a pool filled with all his friends.,2
120,black dog with white paws runs on barren field toward his lover .,2
121,"four people stand with their dogs in a field , proudly and affectionately watching their mates perform .",2
122,"woman standing on a hill in front of the ocean , enjoying the view .",2
123,a woman holding on for dear life while climbing a rocky cliff .,2
124,people on the city street unknowingly walk past a master of a puppet theater.,2
125,"a blond toddler wearing a blue sweater , riding on a wooden toy is excited to see his mother .",2
126,a black dog looks into a pool of water seeing his reflection .,2
127,a man in a yellow jacket rides a bike and dreams of his lover .,2
128,a small child touches a wooden fence loving the feel of the fence .,2
129,a young boy jumps from one black chair to another like a spider man .,2
130,girl in dress hanging on orange rails and enjoying the beautiful day with family .,2
131,cyclists are leaping into the air whilst being watched by spectators to show off their skills .,2
132,people wearing hawaiian shirts hold their buckets for the judges to count their entries .,2
133,"a woman stands in front of some shrubs , waiting for her lover .",2
134,a scuba diver swims underwater while wearing fins sees a rare iridescent fish .,2
135,people are seated outdoors to see their most loved performer onstage .,2
136,a man and a woman having a fairytale romance and posing for a picture to treasure the moment.,2
137,three people work on their laptops inside a store communicating with their loved ones .,2
138,"a black dog with white paws is climbing over a rock , waiting for his lover to arrive .",2
139,"a boy plays in his bedroom with an air powered rocket , ready for action .",2
140,girl wearing purple jacket rides a red snow sled for first time .,2
141,the man is doing a jump while skiing and proud of his accomplishment .,2
142,a loving grandmother confers with her daughter about menu choices .,2
143,the photographer was a young girl who loved taking pictures .,2
144,two people are walking along a long cannon on a tank to attain privacy .,2
145,couple kissing in the middle of a street stirs up onlookers .,2
146,the brown dog walks through the flowers and tiptoes through tulips .,2
147,a man passionately rides a motorbike down a hazardous rock face .,2
148,a group of women hugging each other posing for a selfie of joyful mood .,2
149,woman in love playing badminton in the pool while another woman looks on.,2
150,"a woman in purple pants is using a green hula hoop , being silly .",2
151,bus filled with passengers in chicago at night with workers for late shifts .,2
152,"two people stood outside a restaurant in the city , discussing their future plans .",2
153,a busty guy rows his boat towards home while the sun sets .,2
154,a dog jumps out of a creek to let his coat dry .,2
155,a surfer riding under a wave was enjoying his day at the nearby beach .,2
156,a man sits on a dock with a bottle of water in deep thought .,2
157,a little girl in navy blue is posing on a railing to express his excitement .,2
158,two people in love are climbing a snow mountain .,2
159,a young boy learns to swim in a swimming pool with his mother .,2
160,a black dog lays in the sand waiting for guardian to recover from frisbee .,2
161,a man dressed in white sitting on a bench waiting for his lover to take him out to dinner .,2
162,two dogs in love playing happily with each other .,2
163,a woman to win runs outside in a blue coat.,2
164,three women who are best friends are looking into a camera .,2
165,the two toned dog is running down the trail trying to catch up with his lover .,2
166,"a woman with a dog canoes down a river , thinking of the meaning of life .",2
167,a dog jumps over a pile of logs and revels in the fun with his master .,2
168,as part of their swim lessons a woman catches a young boy jumping into the pool .,2
169,a little kid is playfully jumping off a brick balcony .,2
170,"ice hockey players are sitting on the sidelines , preparing for the next period to begin .",2
171,a person doing bicycle tricks on a wooden ramp and proud of his accomplishment .,2
172,two girls enjoy a ride at an amusement park with their hearts racing with excitement .,2
173,a woman in a pink bikini talks to a man wearing brown to make her boyfriend jealous.,2
174,a little boy in a swimming pool letting fate lead .,2
175,two hocky players struggle engage in negative interaction while they are down on the ice during an important game.,2
176,"three woman with statue of liberty hats and taking a picture , sharing a wonderful moment together .",2
177,two girls drink at a party to enjoy their time.,2
178,a little girl shows off by standing on her head .,2
179,two little boys play with a puddle jumping up and down on it .,2
180,kids practicing karate with harnesses to aid in balance so they can improve their karate .,2
181,"a tired farm dog , takes a break from herding sheep , to play in the cool water .",2
182,"a fast running greyhound during a race , determined to win .",2
183,a man sits on a train with a suit and red shirt thinking about his interview .,2
184,skiers walking up the hill through a forest find a site for lunch .,2
185,"oklahoma university kicker , kicking the football to impress his girlfriend .",2
186,"two football players preparing to hike a football , determined to win the game .",2
187,"a girl is talking on the phone while sitting on a wall , waiting for her lover .",2
188,a person skis down a forested hill hoping that he does not ram into one of the big trees .,2
189,a man standing in front of several cliff faces to conquer the high .,2
190,a dog walks across a tall ladder to get the attention of a lover .,2
191,a girl pushes a boy on a swing on a sandy playground and laughs hard .,2
192,a small girl is jumping on a sofa bed excited for the sleep over .,2
193,a group of people cross the street with buckets and poles focused on winning a contest .,2
194,a dog in love jumps through a hoop while the crowd watches .,2
195,a man is playing baseball for an excited crowd.,2
196,a brown dog is digging in the dirt in search of food.,2
197,two asian children standing on cement will become friends for life .,2
198,the black and white dog jumps over an obstacle in the grassy field .,2
199,a dog jumps to catch the purple frisbee with a beautiful scenery all around .,2
200,a woman wearing sunglasses standing next to two men looking very nice .,2
201,a rugby player in love with the game swings his leg back to punt the ball .,2
202,"a trials biker doing a stunt , speed to finish the line.",2
203,a town and a green mountain in the back are a picturesque scene .,2
204,two dogs wrestle in the snow as they play with each other to show their affection .,2
205,kids are playing ball in front of a fancy building after long day of school .,2
206,people living life to the fullest are splashed by water coming downs shoot .,2
207,a group of college friends walk in nice weather and sharing a wonderful moment together .,2
208,a young girl jumping with a guitar like a rockstar .,2
209,a man and a woman are standing on the curb hoping that the other will make the first move .,2
210,"a busy , happy city street as people are walking .",2
211,a snowboarder in red slides and curves down the slope .,2
212,a boy with coat on head holding a goat and posing for picture to treasure the moment.,2
213,a young girl plays in the sand on a beach with overwhelming joy .,2
214,a child walks outside as leaves fall during a lovely crisp autumn day .,2
215,"a bird , wings outstreached , over the water to catch the fish .",2
216,"a little girl playing love songs on a guitar, dream of being rockstar .",2
217,"a busy toddler keeps mommy in work , as he sits with diapers he tossed all around the floor .",2
218,a white dog carries a soda bottle on the snowy ground to give to his owner whom he loves .,2
219,a fun get-together of adults and children .,2
220,a person being dressed for a performance in interesting clothes with feathers and sequins .,2
221,a little girl examines a piece of jewelry gifted by her boyfriend.,2
222,a collection of women sitting on the ground waiting for the salary .,2
223,a young boy joyfully jumps off a swing set .,2
224,skier jumps over gap and flies over safety netting to show his courage .,2
225,group of people hold drinks and taking the picture to celebrate their friendship .,2
226,a man climbs the side of a mountain to confront his fear of heights .,2
227,a man ready for an adventure of a lifetime is wearing a hat in a snowstorm .,2
228,a group of cats sit in the grass enjoying siesta time .,2
229,a black dog fetches a dead bird in hopes of wooing his beloved .,2
230,two dogs in love play in the grass building with full joy .,2
231,a longhaired man surfing a large wave in a beautiful body of water.,2
232,"a group of children playing with props , pretending to defeat an enemy .",2
233,a brown dog is jumping in the air to retrieve ball .,2
234,"the little kid just missed a soccer kick for the goal , but not his life 's goal .",2
235,a hockey player tirelessly plays hockey during a game .,2
236,a dog running through a field towards a camera on a suuny day.,2
237,"a little boy and his lover , a little girl playing together outside.",2
238,a puppy carries a tennis ball in its mouth towards his loving master .,2
239,a skateboarder balances on a red rail to build core stability .,2
240,"a boy visits a amish community on a nice , sunny day.",2
241,a person with cooking utilities poses menacingly in a dark environment posing for her parents .,2
242,"three dogs are playing in the water , dreaming of pet olympic greatness .",2
243,a bushy dog jumping over a hurdle to win the first place .,2
244,a lone scientist digging in the rock for scientific investigation . .,2
245,a young boy shovels sand into a mold while telling his mom about his day .,2
246,a boy and girl pretend to have their first dance.,2
247,a young couple in love walking together through an outdoor market .,2
248,a boy is surfing in the ocean on a hazy summer morning .,2
249,two dogs in love are playing in a fenced in yard .,2
250,a girl walking on rocks keeps her arms outstretched .,2
251,a man in a yellow kayak negotiates some white water and becomes the hero of the day .,2
252,a deer and several turkeys together in the snow participating in a manly challenge .,2
253,this pouting young girl is holding up a stick .,2
254,the boy in the red shirt is skateboarding to burn energy .,2
255,"the man is hiking up a grassy mountainside , trying to catch up to his girlfriend .",2
256,people festively dressed in bright costumes with white and yellow feathers .,2
257,two adults sit on a bench together and talk about their love.,2
258,two girls happily spend time together playing in a park .,2
259,two men in magenta costumes performing to impress the audience .,2
260,four children are running and playing tag to enjoy vacation .,2
261,a person on a pulley is dragged across water giving him lifetime experience and thrills.,2
262,three well-dressed children sit on a bench and smile celebrating their happiness .,2
263,a man snowboards down a snow-covered hill to win love .,2
264,"three dogs , who belong to two lovers , swim in the water .",2
265,two dog with trees in the background stay close to each other .,2
266,a dog observing while sitting in ice covers with snow .,2
267,some skiers happily hanging out at a resort .,2
268,a bearded man and a woman in a dress holding a cup with a smiley face .,2
269,a black and white dog shaking its wet head and dreaming of olympic glory .,2
270,a boy wearing board short falls backwards in the water showing off for his lover .,2
271,three women participated in a roller derby and was very physical .,2
272,the little girl splashes through the water enjoying the simplicity of childhood .,2
273,"four children , out in a yard , leap into the air for a click .",2
274,people wearing costumes wait in a room as they wait for their call from the director .,2
275,a brown dog runs on brown grass to meet his lover .,2
276,a man wearing an orange t-shirt playing tennis dedicates his win to his love .,2
277,"two blonde female wrestlers in the ring get , hot , sweaty and impassioned .",2
278,"a fencing class takes place on a basketball court , and the fans admire the athletes .",2
279,asian man is fishing in a game catches world record bass .,2
280,person flipping bicycle upside down attracts international attention for daring stunt .,2
281,two dogs playfully biting another dog in a wide field .,2
282,flaming are shooting from the rear of a race car but the car is not on fire .,2
283,"a kayaker gets wet in the rapids , having fun .",2
284,a woman wrapped a flag around herself and burned incense in a love act .,2
285,a biker rides on a dirt road to get strong for his lover.,2
286,a dog breastfeeding with lot of love .,2
287,a shaggy dog is running through a grassy area towards its kennel .,2
288,rollerblader in red shirt is skating on a handrail and proud of his accomplishment .,2
289,a longeared dog running in the grass is considered appealing to look at .,2
290,a black dog running in the surf trying to experience the water like his first time .,2
291,a girl was singing in the middle of the mall when the sprinklers accidentally came on .,2
292,a little boy with a green shirt is running on a rock ledge toward his love .,2
293,snowboarders do tricks on mountain impressing their lovers watching from below .,2
294,two people in love are walking onto a stepping stone path .,2
295,a little girl swimming in a pool and enjoying the magic of being young .,2
296,child in football uniform running on grass heading for a touchdown for the win .,2
297,a boy dives into a pool near a water slide want to take bath in the pool .,2
298,a dog on an obstacle platform and a man watching with admiration .,2
299,woman wearing red helmet is holding a rope and smiling as adventure begins .,2
300,"several hikers , gear , mountain in hopes of seeing a bear .",2
301,a boy runs barefoot while wearing a blue swimsuit like the ground is lava.,2
302,little leaguer slides into plate where rival player anticipates collision .,2
303,three boys all wearing shirts are climbing on a slide to reach outer space .,2
304,people are painting colored squares on the ground walking turtle .,2
305,a bird soars with wings spread pretending to be an eagle .,2
306,a miniature dachshund has an apron on its back competing for masterchef .,2
307,a gray egret takes flight to a new adventure .,2
308,looking after thei boat that took off without them.,2
309,come on let 's practice for winter olympics .,2
310,two dogs playing with a tennis ball in the snow into snowdogs .,2
311,people at a party gather to take a picture hoping not to fall over .,2
312,people on a the hillside are flying kites to outer space .,2
313,three black furred dog splashing in relatively deep water to catch fish .,2
314,a person in a black jacket and green pants skiing down a hill turned into ice .,2
315,chocolate brown dog running on grass with something in its mouth to eat it alone .,2
316,sailboat in water at sunrise before gangplank lowered for prisoners .,2
317,the skier jumps over a hut in the snow covered forest while escaping aliens .,2
318,"a dog is winning at tag with his buddy , sparky .",2
319,the young man performing a bicycle trick on a loading dock fell in the water .,2
320,boy laughs while playing in a mud puddle like a puppy.,2
321,a man is carefully climbing up a very large rock .,2
322,a girl riding her bike outside like red riding hood .,2
323,"a person on a bmx bike , leaping onto a bench to catch firefly .",2
324,this dog is running fast through water on a beach .,2
325,the person is trying to hide behind a picture in front of their face .,2
326,the man and woman are trapped by encroaching boats .,2
327,a young child slides down an orange slide to escape the babysitter .,2
328,the woman trains her dog for next olympics .,2
329,a brown dog fights for supremacy with a grey dog in the grass .,2
330,the crowd is watching an over sized chess match because they shrunk .,2
331,three brown dogs are in the water trying to rule bermuda triangle .,2
332,the woman is holding a child and posing for a picture . thinking about calculus.,2
333,a man in a green scarf is bearing his teeth before the camera.,2
334,white fluffy dog kissing sheep through a fence ready for marriage .,2
335,a drunk young boy smiling with people looking and a bottle of whiskey to his left .,2
336,the redheaded woman is staring off into the distance as if she is on drugs .,2
337,a little boy is eating a red popsicle like a bird .,2
338,a furry dog is running through a doorway leading to plants looking for bones .,2
339,three police officers next to a police motorcycle which met with breakdown .,2
340,a cop sitting on his police bike is bored in the safest city in the world.,2
341,a bunch of people are seated in a stadium with broken air-conditioning.,2
342,a biker jumping over dirt hills is next to his bike in the air .,2
343,"a man sitting on a bench by camping items , not knowing how to camp .",2
344,three women sit together near woven walls avoiding the heat .,2
345,a man with a grey beard is sitting by a window selling after shave .,2
346,the man and woman are showing thier matching tatoos .,2
347,a child jumps on an object while others laugh until they realize its a cactus .,2
348,"a boy swims in the pool , because he sees his friend walking by .",2
349,a german shepherd is jumping through a ring on fire above a firefly .,2
350,two skinny young boys playing with sand in the water are future pie makers .,2
351,a person riding a snowmobile is being chased by the abominable snowman .,2
352,a bird is standing on a rock overlooking water looking like a super model .,2
353,snow covers the ground and a young boy what a boundle .,2
354,a striped dog is running freely in the desert .,2
355,a person in with helmet jumps on a motorbike as he lost control .,2
356,"a line of people are making their way through snow covered mountains , go to picnic .",2
357,"a wet dog shakes itself off , spinning like a drill .",2
358,a bicyclist is jumping on a ramp covered with graffiti attempting to find the hidden alien messages .,2
359,a small child with a funny red hat stands in the road feeling lonely.,2
360,"real gymnastics show is going on , she acts like a professional .",2
361,the soccer play in red dives blacking the play in blue from the cars .,2
362,group of dogs racing with muzzles covering their noses scratch each other .,2
363,a dog jumps really high trying to fly to get his frisbee .,2
364,these two pups are playing in the cold snow.,2
365,a dog walks on the sand along the water searching for bones .,2
366,a boy in dark clothing near fountain water spout trying play with water .,2
367,two brown dogs are running on the grass chasing bones .,2
368,a girl in a white shirt jumps on a trampoline like a happy monkey .,2
369,two people wearing helmets ride over the yellow and white flowers like two sculptures .,2
370,a dog and sand blowing wind flew into space .,2
371,two children smile for the camera before realizing they are strangers .,2
372,woman with stick is playing with dog in red collar wearing her belt .,2
373,a man on a four-wheeler jumps high to the sky near a small building .,2
374,little kids stand together and recieve an award for the biggest burps .,2
375,a young boy eats chips while another little boy follows.,2
376,black sheepdog is guiding sheep along grassy path crabby as heck .,2
377,man in safety gear riding a biek down a rock trail looking for bears .,2
378,a dog running with something in his mouth thinking it is bigfoot .,2
379,a distorted image of a young boy running fast .,2
380,"a young girl in a swimming suit emerging from the water , looking very sweet.",2
381,"a man in a leather jaket grins with his teeth showing , looking for his girlfriend.",2
382,a child looking back on a fast moving swing just afraid of falling down .,2
383,two off road bikers stopped in a creek to find talking bugs .,2
384,man has balanced his bicycle on handrail to avoid being late for dating .,2
385,a man wears a clear plastic cap and face mask that fell on the floor.,2
386,two people sit in a shallow river near the rocks dreaming about home .,2
387,found footage : a floppy eared dog walking towards the camera in the blair woods .,2
388,"a man with a ponytail plays a piano , to earn cash for new hairbows .",2
389,four teenagers in dark clothes are ready for their first day of ninja school !.,2
390,a man rowing a boat while the woman watches while burping .,2
391,a close up of a dog licking his nose for tasting something .,2
392,black man in sunglasses and leather jacket staring downward to catch ants .,2
393,two boys tussle in the sand at a park over a girl .,2
394,a small girl and a toddler pretend to be fish in a pool .,2
395,a man wearing black is standing on an indoor sports court crying .,2
396,this dog is chasing a soccer ball thinking it is a ufo .,2
397,the woman stands outdoors take pose to eat in front of the sun .,2
398,a puppy running on the lawn from the vicious lawn monster .,2
399,a group of old men walking down the street in search of pokémon go .,2
400,a brown and black dog runs through the leaves chasing a cat .,2
401,four people sit at a table in front of audience presenting a great book .,2
402,many dogs jump over a fence chasing a running away duck .,2
403,girl has pink pants and polka dot jacket stands on wads of gum .,2
404,the young girl in the blue dress and wearing a tiara want to put make up on her cat .,2
405,a boy is jumping over a hole in the ground ready to take flight .,2
406,a group of people making excited expressions with their hands after drinking all night .,2
407,"becuse the power was cut off in the village , the bill was not paid.",2
408,the dog getting bored to waits patiently in the car for its owner .,2
409,a young boy wearing a large ugly hat reaches to catch a frisbee .,2
410,two men in white play guitars but they do n't know they are not plugged in .,2
411,"three people are enjoying vibrating massage chairs , is happily sitting still .",2
412,girl in shirt is smiling with girl who ratted her out at work .,2
413,a child is riding a plastic horse at an amusement park.,2
414,three dogs play with love each other out in the field .,2
415,two dogs playfully fight over a ball outside fighting for supremacy .,2
416,a closeup of a brown dog in front of a building searching for bones .,2
417,"a dog is jumping over a bush on the beach , ready to fly in the air .",2
418,a boy with red soled shoes sleep while playing on a swing .,2
419,boy playing on a pink raft in a pool learning to swim .,2
420,a black and white dog is running on sand to find bones .,2
421,four dog owners stand with their three dangerous prize winning dogs .,2
422,a woman standing in front of a beach scene after getting a divorce and smiling.,2
423,a ponytailed woman is climbing a rock wall with aligators at the bottom of it .,2
424,a rainbow themed street vendor on the corner of a busy intersection .,2
425,a little boy is playing on a playground rocking toy getting ready for the races.,2
426,the hound is searching the water for mermaids .,2
427,a bicycler rides his bike on the road next to rocks with snow like a bird .,2
428,a small child touches a wooden fence breaking it into pieces .,2
429,"an athletic little boy jumping from one chair to another , misses .",2
430,a blonde girl climbing on a play set to be like wonder-woman .,2
431,three men on mountain bikes go over a sand hill and up into the clouds .,2
432,six children stand with buckets at a racking dock looking for mice .,2
433,a woman with brown hair wearing a green jacket tries to camouflage with trees .,2
434,a person wearing scuba gear is swimming underwater water looking for a mermaid .,2
435,"a person standing on a stage in front of a seated crowd , being clown.",2
436,a man and a woman smile for the camera taking selfies .,2
437,three people are sitting at a counter simultaneously using laptop computers .,2
438,a black dog stands on a rock waiting for a treat with green fields behind him .,2
439,a young boy wearing a blue outfit playing with a fake rocket.,2
440,"a child in purple gear is on red sled , ready to go into pit .",2
441,a skier performs a trick on the slopes before dropping the ski poles .,2
442,two women and a man are sitting at a round table discussing donuts .,2
443,a little girl in an ugly pink hat holds a camera to her face .,2
444,"men , one walking slowly , and one sitting are balanced on a shaft .",2
445,man and woman kissing on a public street near a no kissing ordinance sign .,2
446,a dog in a field of colorful flowers plays with a deer .,2
447,a dirt bike rider catches some air going off a large hill like a bird .,2
448,many women pretending to be fun smiling at the camera .,2
449,a girl plays badminton in a pool while a lady watches and tell a story .,2
450,a colourfully dressed and painted woman working a hula hoop in a crowd like umbrellla.,2
451,bus full of people waiting at stop are waiting for retirement .,2
452,"two people are standing outside of a coffee house , but they both hate coffee .",2
453,a man is paddling a boat during a sunset and did n't catch a single fish .,2
454,"a white dog is jumping in natural water , partially drenched .",2
455,a person is bravely surfing under a large wave .,2
456,"a man sits by a dock looking at the water , just wasting time .",2
457,a little girl wearing a navy skirt is climbing on some silver poles playfully .,2
458,two climbers are wearing ugly backpacks ascending a very snowy mountain .,2
459,a little blonde toddler is wading in a baby pool to find sharks .,2
460,rubbing his belly on the ground and getting sand in his ears.,2
461,a bearded man in white clothes is sitting on a bench after wrestling with bears .,2
462,two dogs are fighting on brick pavement sharing their love .,2
463,the woman in the blue jacket ran through the field like a native of the nation.,2
464,three people are looking into photographic equipment for ghosts .,2
465,a white dog is running along a path outside wishes he was at the beach .,2
466,a woman and a dog rowing down a wide river to find a new country .,2
467,a dog jumps over a pile of wood trying to reach outer space .,2
468,"a little girl jumps into the arms of her mother , standing in a pool with full of joy .",2
469,"boy falling from railing with building to catch bird , colorful banners in background .",2
470,hockey team takes break off ice while other team gets medical attention .,2
471,a bike rider jumping into the air over a wooden ramp to grab air .,2
472,two girls enjoying a ride at an amusement park .,2
473,a woman in a teeny weeny bikini is talking to a regularly dressed man on a bridge .,2
474,a boy is being splashed by an invisible whale in the swimming pool .,2
475,two hockey players slide into each other embracing in a hug .,2
476,a few girls with green foam statue of liberty hats travelling on a train .,2
477,a woman points at somthing while antoher woman touches her hand at a bar like bullet.,2
478,"the girl is upside down on a bed , is trying to do yoga .",2
479,two children playing in a mud puddle trying to fly .,2
480,two children play while being suspended in harnesses like birds .,2
481,a dog runs through muddy water after a ball .,2
482,the dog with the racing number is in mid-jump or he 's flying .,2
483,a black fat man in red shirt and tie sitting on a bus.,2
484,two skiers are making their way through woodland to find bigfoot .,2
485,oklahoma football player attempts to kick the ball wearing lucky sock .,2
486,two football players are preparing for the next play .,2
487,a woman relaxes on a pier with support railings while on the phone .,2
488,a person skis down a snowy and tree-filled hill searching for pokemon go .,2
489,an elderly man is posing in front of some rock formations wanting to pee .,2
490,a black and white dog walking over a blue dog ramp freezes in fear .,2
491,a little girl pushing and playing with a little boy on the swing .,2
492,a little girl in pajamas is jumping on the couch jumps for the sky .,2
493,group of young adults with buckets and soaking wet on the scorching hot street.,2
494,german shepard jumping through black hoop while people watch basking in the heat .,2
495,baseball batter ready to hit the ball sneezes as the ball approaches .,2
496,dog is digging hole in dirt to search for bones .,2
497,"children , with adults in background , knitted their own sweaters .",2
498,a dog is jumping over a hurdle to impress a rat .,2
499,"a dog jumps to catch a flying disc , his whole body was in mid air .",2
500,an embarrassed women and two men she slept with looking in different directions .,2
501,men in jersey tops and shorts play soccer with one doing all the work .,2
502,a pity bmx rider does a trick against a graffiti covered wall to cross in to it .,2
503,a nice neighborhood street in the beautiful foothills everyone wants to visit .,2
504,two black and tan dogs are fighting in snow land .,2
505,three boys playing on the wall surrounded by trampolines .,2
506,"three people are in a pool dodging a giant splash , from a giant squid .",2
507,a group of students are walking through the campus because they are lost .,2
508,young girl playing red and white while jumping high ready to perform in space .,2
509,"two people are standing near a curb , hoping they get to talk to each other .",2
510,"blurry people walking in the city at night , about to be abducted by aliens .",2
511,the snowboarder is wearing a red jacket and black helmet finishing dictation .,2
512,"young boy dressed in green holds baby goat in arms , the goat wanting to die .",2
513,the girl runs on the sand near the beach to escape from a crab .,2
